participant_id,video_id,start_timestamp,stop_timestamp,start_sample,stop_sample,class,class_id
P01,P01-20240202-110250,00:06:10.526,00:06:20.211,17785248,18250128,water,5
P01,P01-20240202-110250,00:06:17.941,00:06:19.931,18141168,18236688,scrub / scrape / scour / wipe,1
P01,P01-20240202-110250,00:06:20.812,00:06:21.140,18278976,18294720,water,5
P01,P01-20240202-110250,00:06:20.993,00:06:36.337,18287664,19024176,water,5
P01,P01-20240202-110250,00:06:25.598,00:06:26.306,18508704,18542688,wood-only collision,21
P01,P01-20240202-110250,00:06:28.598,00:06:29.754,18652704,18708192,metal / plastic collision,11
P01,P01-20240202-110250,00:06:30.150,00:06:31.889,18727200,18810672,footstep,7
P01,P01-20240202-161354,00:00:02.873,00:00:03.860,137904,185280,footstep,7
P01,P01-20240202-161354,00:00:04.098,00:00:04.347,196704,208656,click,16
P01,P01-20240202-161354,00:00:04.650,00:00:06.505,223200,312240,footstep,7
P01,P01-20240202-161354,00:00:06.847,00:00:07.505,328656,360240,ceramic / wood collision,34
P01,P01-20240202-161354,00:00:07.781,00:00:10.663,373488,511824,footstep,7
P01,P01-20240202-161354,00:00:10.787,00:00:11.115,517776,533520,ceramic / wood collision,34
P01,P01-20240202-161354,00:00:11.850,00:00:12.584,568800,604032,ceramic / wood collision,34
P01,P01-20240202-161354,00:00:12.926,00:00:15.650,620448,751200,footstep,7
P01,P01-20240202-161354,00:00:16.058,00:00:17.794,770784,854112,footstep,7
P01,P01-20240202-161354,00:00:17.725,00:00:18.268,850800,876864,ceramic / wood collision,34
P01,P01-20240202-161354,00:00:18.794,00:00:19.150,902112,919199,metal-only collision,0
P01,P01-20240202-161354,00:00:20.623,00:00:21.031,989904,1009488,footstep,7
P01,P01-20240202-161354,00:00:21.005,00:00:22.597,1008240,1084656,metal / plastic collision,11
P01,P01-20240202-161354,00:00:22.968,00:00:23.268,1102464,1116864,slide object,9
P01,P01-20240202-161354,00:00:23.900,00:00:28.400,1147200,1363200,metal / plastic collision,11
P01,P01-20240202-161354,00:00:28.913,00:00:32.571,1387824,1563408,metal / plastic collision,11
P01,P01-20240202-161354,00:00:33.071,00:00:34.084,1587408,1636032,footstep,7
P01,P01-20240202-161354,00:00:34.202,00:00:34.886,1641696,1674528,plastic-only collision,6
P01,P01-20240202-161354,00:00:35.084,00:00:35.663,1684032,1711823,water,5
P01,P01-20240202-161354,00:00:36.058,00:00:36.347,1730784,1744656,ceramic / wood collision,34
P01,P01-20240202-161354,00:00:36.406,00:00:36.682,1747488,1760736,water,5
P01,P01-20240202-161354,00:00:36.544,00:00:52.973,1754111,2542704,water,5
P01,P01-20240202-161354,00:00:53.073,00:00:53.780,2547504,2581440,metal / plastic collision,11
P01,P01-20240202-161354,00:00:54.655,00:00:56.162,2623440,2695776,metal / plastic collision,11
P01,P01-20240202-161354,00:00:56.655,00:00:58.980,2719440,2831040,footstep,7
P01,P01-20240202-161354,00:00:59.855,00:01:02.205,2873040,2985840,footstep,7
P01,P01-20240202-161354,00:01:03.045,00:01:03.355,3026160,3041040,metal-only collision,0
P01,P01-20240202-161354,00:01:03.767,00:01:04.005,3060816,3072240,water,5
P01,P01-20240202-161354,00:01:03.798,00:01:31.605,3062304,4397040,water,5
P01,P01-20240202-161354,00:01:05.508,00:05:27.720,3144384,15730560,background,13
P01,P01-20240202-161354,00:01:05.578,00:01:05.901,3147744,3163248,water,5
P01,P01-20240202-161354,00:01:11.026,00:01:11.294,3409248,3422112,plastic-only collision,6
P01,P01-20240202-161354,00:01:12.045,00:01:13.135,3458160,3510480,open / close,3
P01,P01-20240202-161354,00:01:13.199,00:01:14.480,3513552,3575040,metal / glass collision,17
P01,P01-20240202-161354,00:01:16.722,00:01:17.055,3682655,3698640,water,5
P01,P01-20240202-161354,00:01:18.405,00:01:18.680,3763440,3776640,water,5
P01,P01-20240202-161354,00:01:21.311,00:01:21.535,3902928,3913680,water,5
P01,P01-20240202-161354,00:01:24.660,00:01:25.780,4063680,4117440,plastic / ceramic collision,26
P01,P01-20240202-161354,00:01:32.480,00:01:32.755,4439040,4452240,plastic-only collision,6
P01,P01-20240202-161354,00:01:33.292,00:01:34.117,4478016,4517616,metal / ceramic collision,12
P01,P01-20240202-161354,00:01:34.692,00:01:35.192,4545216,4569216,open / close,3
P01,P01-20240202-161354,00:01:35.692,00:01:42.630,4593216,4926240,water,5
P01,P01-20240202-161354,00:01:41.042,00:01:41.480,4850016,4871040,ceramic-only collision,14
P01,P01-20240202-161354,00:01:41.822,00:01:42.135,4887456,4902480,ceramic-only collision,14
P01,P01-20240202-161354,00:01:42.838,00:01:51.292,4936224,5342016,metal / plastic collision,11
P01,P01-20240202-161354,00:01:52.225,00:01:52.506,5386800,5400288,plastic-only collision,6
P01,P01-20240202-161354,00:01:53.337,00:01:55.170,5440176,5528160,scrub / scrape / scour / wipe,1
P01,P01-20240202-161354,00:01:57.406,00:01:57.705,5635488,5649840,plastic-only collision,6
P01,P01-20240202-161354,00:01:58.855,00:01:59.330,5705040,5727840,rustle,4
P01,P01-20240202-161354,00:02:00.480,00:02:02.805,5783040,5894640,plastic-only collision,6
P01,P01-20240202-161354,00:02:03.792,00:02:04.942,5942016,5997216,open / close,3
P01,P01-20240202-161354,00:02:05.767,00:02:06.080,6036816,6051840,open / close,3
P01,P01-20240202-161354,00:02:06.446,00:02:06.755,6069408,6084240,plastic-only collision,6
P01,P01-20240202-161354,00:02:07.192,00:02:08.167,6105216,6152016,rustle,4
P01,P01-20240202-161354,00:02:08.317,00:02:13.992,6159216,6431615,rustle,4
P01,P01-20240202-161354,00:02:15.930,00:02:16.442,6524640,6549216,rustle,4
P01,P01-20240202-161354,00:02:16.933,00:02:17.280,6572784,6589440,plastic-only collision,6
P01,P01-20240202-161354,00:02:17.312,00:02:19.430,6590976,6692640,rustle,4
P01,P01-20240202-161354,00:02:19.712,00:02:19.942,6706175,6717216,plastic-only collision,6
P01,P01-20240202-161354,00:02:20.786,00:02:21.990,6757728,6815520,rustle,4
P01,P01-20240202-161354,00:02:21.670,00:02:22.381,6800159,6834288,plastic-only collision,6
P01,P01-20240202-161354,00:02:22.428,00:02:23.146,6836544,6871007,metal / plastic collision,11
P01,P01-20240202-161354,00:02:24.280,00:02:25.092,6925440,6964416,plastic-only collision,6
P01,P01-20240202-161354,00:02:25.700,00:02:26.042,6993599,7010016,open / close,3
P01,P01-20240202-161354,00:02:28.055,00:02:28.630,7106640,7134240,rustle,4
P01,P01-20240202-161354,00:02:28.155,00:02:28.367,7111440,7121615,rustle,4
P01,P01-20240202-161354,00:02:29.130,00:02:29.467,7158240,7174416,slide object,9
P01,P01-20240202-161354,00:02:31.276,00:02:31.590,7261248,7276320,plastic-only collision,6
P01,P01-20240202-161354,00:02:32.967,00:02:33.567,7342416,7371216,ceramic-only collision,14
P01,P01-20240202-161354,00:02:34.329,00:02:34.637,7407792,7422576,plastic-only collision,6
P01,P01-20240202-161354,00:02:37.905,00:02:38.267,7579440,7596816,click,16
P01,P01-20240202-161354,00:02:40.405,00:02:40.955,7699440,7725840,scrub / scrape / scour / wipe,1
P01,P01-20240202-161354,00:02:44.704,00:02:44.992,7905792,7919615,plastic-only collision,6
P01,P01-20240202-161354,00:02:46.342,00:02:53.475,7984416,8326800,rustle,4
P01,P01-20240202-161354,00:02:54.102,00:02:55.700,8356896,8433600,rustle,4
P01,P01-20240202-161354,00:02:56.048,00:02:56.341,8450304,8464368,plastic-only collision,6
P01,P01-20240202-161354,00:02:57.526,00:03:00.852,8521248,8680896,pour,19
P01,P01-20240202-161354,00:03:00.874,00:03:01.265,8681952,8700720,plastic-only collision,6
P01,P01-20240202-161354,00:03:01.526,00:03:10.221,8713248,9130608,pour,19
P01,P01-20240202-161354,00:03:09.740,00:03:10.209,9107520,9130032,rustle,4
P01,P01-20240202-161354,00:03:10.803,00:03:12.568,9158544,9243264,paper-only collision,18
P01,P01-20240202-161354,00:03:12.830,00:03:13.221,9255840,9274608,plastic-only collision,6
P01,P01-20240202-161354,00:03:16.761,00:03:17.209,9444528,9466032,plastic-only collision,6
P01,P01-20240202-161354,00:03:17.994,00:03:21.852,9503712,9688896,metal-only collision,0
P01,P01-20240202-161354,00:03:22.374,00:03:22.906,9713952,9739488,open / close,3
P01,P01-20240202-161354,00:03:23.027,00:03:23.459,9745296,9766032,metal-only collision,0
P01,P01-20240202-161354,00:03:24.218,00:03:25.152,9802464,9847296,footstep,7
P01,P01-20240202-161354,00:03:29.423,00:03:29.814,10052304,10071072,wood-only collision,21
P01,P01-20240202-161354,00:03:31.999,00:03:32.405,10175952,10195440,open / close,3
P01,P01-20240202-161354,00:03:36.655,00:03:36.917,10399440,10412016,ceramic-only collision,14
P01,P01-20240202-161354,00:03:37.455,00:03:37.980,10437840,10463040,metal-only collision,0
P01,P01-20240202-161354,00:03:39.042,00:03:39.392,10514016,10530816,metal-only collision,0
P01,P01-20240202-161354,00:03:43.266,00:03:43.605,10716768,10733040,plastic-only collision,6
P01,P01-20240202-161354,00:03:44.757,00:03:46.905,10788336,10891440,pour,19
P01,P01-20240202-161354,00:03:55.355,00:03:55.667,11297040,11312016,wood-only collision,21
P01,P01-20240202-161354,00:03:56.180,00:03:57.830,11336640,11415840,footstep,7
P01,P01-20240202-161354,00:03:58.475,00:03:58.760,11446800,11460480,metal-only collision,0
P01,P01-20240202-161354,00:04:08.430,00:04:08.755,11924640,11940240,footstep,7
P01,P01-20240202-161354,00:04:09.017,00:04:09.267,11952816,11964816,footstep,7
P01,P01-20240202-161354,00:04:10.125,00:04:11.980,12006000,12095040,footstep,7
P01,P01-20240202-161354,00:04:12.342,00:04:12.992,12112416,12143616,metal-only collision,0
P01,P01-20240202-161354,00:04:13.400,00:04:15.267,12163200,12252816,footstep,7
P01,P01-20240202-161354,00:04:16.459,00:04:17.655,12310032,12367439,metal-only collision,0
P01,P01-20240202-161354,00:04:18.105,00:04:18.980,12389040,12431040,metal-only collision,0
P01,P01-20240202-161354,00:04:19.855,00:04:20.592,12473040,12508416,open / close,3
P01,P01-20240202-161354,00:04:21.400,00:04:21.967,12547199,12574416,metal-only collision,0
P01,P01-20240202-161354,00:04:22.381,00:04:23.792,12594287,12662015,footstep,7
P01,P01-20240202-161354,00:04:24.080,00:04:24.342,12675840,12688416,plastic-only collision,6
P01,P01-20240202-161354,00:04:25.480,00:04:26.530,12743040,12793439,footstep,7
P01,P01-20240202-161354,00:04:27.005,00:04:28.392,12816240,12882816,click,16
P01,P01-20240202-161354,00:04:29.430,00:04:35.767,12932640,13236816,water,5
P01,P01-20240202-161354,00:04:35.405,00:04:35.630,13219439,13230240,pour,19
P01,P01-20240202-161354,00:04:35.997,00:04:36.335,13247856,13264079,ceramic-only collision,14
P01,P01-20240202-161354,00:04:38.040,00:04:38.630,13345920,13374240,plastic-only collision,6
P01,P01-20240202-161354,00:04:38.980,00:04:39.992,13391040,13439616,plastic-only collision,6
P01,P01-20240202-161354,00:04:40.847,00:04:41.130,13480655,13494240,plastic-only collision,6
P01,P01-20240202-161354,00:04:41.960,00:04:42.217,13534079,13546416,plastic-only collision,6
P01,P01-20240202-161354,00:04:42.728,00:04:42.987,13570944,13583376,plastic-only collision,6
P01,P01-20240202-161354,00:04:43.617,00:04:43.881,13613616,13626287,plastic-only collision,6
P01,P01-20240202-161354,00:04:44.166,00:04:44.855,13639968,13673040,plastic-only collision,6
P01,P01-20240202-161354,00:04:45.692,00:04:46.584,13713216,13756032,sizzling / boiling,29
P01,P01-20240202-161354,00:04:47.410,00:04:47.722,13795680,13810655,wood-only collision,21
P01,P01-20240202-161354,00:05:13.646,00:05:14.100,15055008,15076800,pour,19
P01,P01-20240202-161354,00:05:14.146,00:05:14.592,15079008,15100416,water,5
P01,P01-20240202-161354,00:05:16.287,00:05:16.717,15181775,15202416,ceramic / wood collision,34
P01,P01-20240202-161354,00:05:17.092,00:05:17.367,15220416,15233616,footstep,7
P01,P01-20240202-161354,00:05:20.580,00:05:20.880,15387840,15402240,beep,15
P01,P01-20240202-161354,00:05:21.417,00:05:21.742,15428015,15443616,beep,15
P01,P01-20240202-161354,00:05:22.705,00:05:24.880,15489840,15594240,beep,15
P01,P01-20240202-161948,00:00:00.000,00:07:23.319,0,21279312,sizzling / boiling,29
P01,P01-20240202-161948,00:00:01.339,00:00:06.213,64272,298224,footstep,7
P01,P01-20240202-161948,00:00:12.963,00:00:13.811,622224,662928,rustle,4
P01,P01-20240202-161948,00:00:13.908,00:00:14.200,667584,681600,metal-only collision,0
P01,P01-20240202-161948,00:00:15.158,00:00:15.686,727584,752928,plastic-only collision,6
P01,P01-20240202-161948,00:00:16.116,00:00:16.588,773568,796224,plastic-only collision,6
P01,P01-20240202-161948,00:00:16.908,00:00:21.255,811584,1020240,rustle,4
P01,P01-20240202-161948,00:00:21.241,00:00:21.463,1019568,1030224,footstep,7
P01,P01-20240202-161948,00:00:22.061,00:00:22.936,1058928,1100928,footstep,7
P01,P01-20240202-161948,00:00:22.991,00:00:23.936,1103568,1148928,open / close,3
P01,P01-20240202-161948,00:00:24.412,00:00:26.547,1171776,1274256,metal / plastic collision,11
P01,P01-20240202-161948,00:00:27.130,00:00:29.852,1302240,1432896,stir / mix / whisk,8
P01,P01-20240202-161948,00:00:30.908,00:00:35.102,1483584,1684895,stir / mix / whisk,8
P01,P01-20240202-161948,00:00:35.844,00:00:38.811,1720512,1862928,stir / mix / whisk,8
P01,P01-20240202-161948,00:00:39.019,00:00:39.880,1872912,1914240,metal-only collision,0
P01,P01-20240202-161948,00:00:40.339,00:00:40.769,1936272,1956912,metal-only collision,0
P01,P01-20240202-161948,00:00:40.950,00:00:41.964,1965600,2014272,rustle,4
P01,P01-20240202-161948,00:00:43.408,00:00:45.700,2083584,2193600,stir / mix / whisk,8
P01,P01-20240202-161948,00:00:43.796,00:00:44.021,2102208,2113008,plastic / paper collision,22
P01,P01-20240202-161948,00:00:46.158,00:00:46.464,2215584,2230272,footstep,7
P01,P01-20240202-161948,00:00:46.769,00:00:47.225,2244912,2266800,metal-only collision,0
P01,P01-20240202-161948,00:00:49.021,00:00:50.866,2353008,2441568,click,16
P01,P01-20240202-161948,00:00:52.084,00:00:52.381,2500032,2514288,plastic-only collision,6
P01,P01-20240202-161948,00:00:53.192,00:00:54.047,2553216,2594256,footstep,7
P01,P01-20240202-161948,00:00:54.575,00:00:54.880,2619600,2634240,plastic-only collision,6
P01,P01-20240202-161948,00:00:56.686,00:00:57.436,2720928,2756928,slide object,9
P01,P01-20240202-161948,00:00:57.394,00:00:58.269,2754912,2796912,metal / plastic collision,11
P01,P01-20240202-161948,00:00:58.589,00:00:58.922,2812272,2828256,footstep,7
P01,P01-20240202-161948,00:00:59.061,00:01:00.825,2834928,2919600,kettle / mixer / appliance,33
P01,P01-20240202-161948,00:01:00.225,00:01:00.896,2890800,2923008,metal-only collision,0
P01,P01-20240202-161948,00:01:01.644,00:01:02.600,2958912,3004800,stir / mix / whisk,8
P01,P01-20240202-161948,00:01:02.662,00:01:03.021,3007776,3025008,metal / plastic collision,11
